Timestamp,Date,Time,Symbol,Side,Order Type,Quantity,Price,Total Value,Fee,Net Value,Exchange,Platform,Status,Strategy,Timeframe,Reason,Railway Deployment ID,Bot Version,Notes
2026-05-05T10:09:07.864Z,2026-05-05,10:09:07,BTCUSDT,BUY,MARKET,1.000000,86.96,86.96,0.0870,86.87,BitGet,Railway Bot,EXECUTED,Liquidity Sweep,1H,"All conditions met",deployment_1777975747861,1.0.0,""
2026-05-05T10:15:19.012Z,2026-05-05,10:15:19,BTCUSDT,BUY,MARKET,1.000000,86.96,86.96,0.0870,86.87,BitGet,Railway Bot,EXECUTED,Liquidity Sweep,1H,"All conditions met",deployment_1777975747861,1.0.0,""
